product_id,review_id,review_text
P004,R039,"The women's sports bras are comfortable enough for all-day wear."
P004,R040,"Band on the women's sports bras started to stretch out quickly."
P005,R041,"These men's joggers are perfect for lounging and light workouts."
P005,R042,"Men's joggers are too slim in the calves for my taste."
P005,R043,"Love the soft interior of these men's joggers."
P005,R044,"The men's joggers attract pet hair like a magnet."
P005,R045,"Men's joggers hold their shape well after washing."
P005,R046,"Drawstring on the men's joggers feels flimsy and might not last."
P005,R047,"These men's joggers are warm but still breathable."
P005,R048,"Men's joggers length is awkward—too short for taller people."
P005,R049,"Great everyday style with these men's joggers; can wear them out."
P005,R050,"The men's joggers started pilling after just a few wears."
P006,R051,"Women's running shorts feel airy and perfect for summer runs."
P006,R052,"The liner inside the women's running shorts is uncomfortable."
P006,R053,"Love the reflective details on these women's running shorts."
P006,R054,"Women's running shorts have very small pockets—barely fit a key."
P006,R055,"These women's running shorts don't ride up when I run."
P006,R056,"Waistband on the women's running shorts folds over during movement."
P006,R057,"Women's running shorts dry quickly and don't trap sweat."
P006,R058,"The women's running shorts are shorter than expected and feel revealing."
P006,R059,"Bright colors on these women's running shorts make me easy to see at night."
P006,R060,"Fabric of the women's running shorts feels a bit stiff out of the package."
P007,R061,"These men's hoodies are cozy and perfect for chilly mornings."
P007,R062,"Men's hoodies shed a bit of lint at first."
P007,R063,"Love the relaxed fit of these men's hoodies."
P007,R064,"Zipper on the men's hoodies feels cheap and snags."
P007,R065,"Men's hoodies keep me warm without overheating."
P007,R066,"The men's hoodies shrank slightly after the first dry cycle."
P007,R067,"Color range for these men's hoodies is fantastic."
P007,R068,"The men's hoodies feel heavier than I expected for workouts."
P007,R069,"Soft interior lining makes these men's hoodies very comfortable."
P007,R070,"Logo on the men's hoodies started cracking quickly."
P008,R071,"Women's leggings are super stretchy and ideal for weightlifting."
P008,R072,"These women's leggings roll down at the waist."
P008,R073,"Women's leggings have a sleek, compressive feel I really like."
P008,R074,"The material on these women's leggings snags easily."
P008,R075,"Love that these women's leggings stay opaque through squats."
P008,R076,"Women's leggings feel a bit too tight behind the knees."
P008,R077,"These women's leggings contour nicely without feeling restrictive."
P008,R078,"Pet hair sticks badly to these women's leggings."
P008,R079,"Women's leggings wash well and keep their shape."
P008,R080,"The stitching on the women's leggings is uneven in a few spots."
P009,R081,"These men's soccer cleats have excellent grip on wet grass."
P009,R082,"Men's soccer cleats feel stiff out of the box and need breaking in."
P009,R083,"Love the striking design of these men's soccer cleats."
P009,R084,"The men's soccer cleats gave me blisters on my heels."
P009,R085,"Men's soccer cleats fit snugly and improve my control."
P009,R086,"Studs on the men's soccer cleats wore down quickly."
P009,R087,"These men's soccer cleats feel light and quick on the field."
P009,R088,"Toe box on the men's soccer cleats is too narrow."
P009,R089,"Traction from these men's soccer cleats is great on firm ground."
P009,R090,"The men's soccer cleats are okay, but not worth the premium price."
P010,R091,"Women's tennis skirts look stylish and move well on court."
P010,R092,"The built-in shorts under the women's tennis skirts ride up."
P010,R093,"Love the clean lines of these women's tennis skirts."
P010,R094,"Women's tennis skirts feel a bit flimsy in high wind."
P010,R095,"These women's tennis skirts fit comfortably at the waist."
P010,R096,"Length of the women's tennis skirts is shorter than I prefer."
P010,R097,"Women's tennis skirts hold up well after multiple matches."
P010,R098,"The fabric on the women's tennis skirts wrinkles easily."
P010,R099,"These women's tennis skirts are cute enough to wear casually."
P010,R100,"The women's tennis skirts could use deeper pockets for balls."
P011,R101,"Men's polo shirts are breathable and perfect for golf."
P011,R102,"The collars on these men's polo shirts curl after washing."
P011,R103,"Love the tailored fit of these men's polo shirts."
P011,R104,"Men's polo shirts feel a bit scratchy at first wear."
P011,R105,"These men's polo shirts keep me cool in the sun."
P011,R106,"Color on the men's polo shirts faded slightly after a few washes."
P011,R107,"Men's polo shirts tuck nicely without bunching."
P011,R108,"Buttons on the men's polo shirts feel fragile."
P011,R109,"These men's polo shirts work well for both office and casual wear."
P011,R110,"The men's polo shirts run small; definitely order a size up."
P012,R111,"Women's fleece joggers are incredibly cozy for lounging."
P012,R112,"The women's fleece joggers shed a lot of fuzz in the dryer."
P012,R113,"Love the relaxed fit of these women's fleece joggers."
P012,R114,"Women's fleece joggers feel too warm for indoor workouts."
P012,R115,"These women's fleece joggers keep their softness after washing."
P012,R116,"The waistband on the women's fleece joggers twists easily."
P012,R117,"Women's fleece joggers fit perfectly around the ankles."
P012,R118,"Color of the women's fleece joggers faded a little over time."
P012,R119,"These women's fleece joggers are my favorite weekend pants."
P012,R120,"The women's fleece joggers stretched out after a few wears."
P013,R121,"Men's basketball shoes provide great ankle support on the court."
P013,R122,"These men's basketball shoes feel heavy during fast breaks."
P013,R123,"Love the bounce in the sole of these men's basketball shoes."
P013,R124,"The men's basketball shoes squeak loudly on indoor floors."
P013,R125,"Men's basketball shoes grip well on both indoor and outdoor courts."
P013,R126,"The upper on these men's basketball shoes creased quickly."
P013,R127,"These men's basketball shoes fit true to size."
P013,R128,"Men's basketball shoes run hot and make my feet sweat."
P013,R129,"Cushioning in these men's basketball shoes is excellent for jumping."
P013,R130,"The men's basketball shoes feel sturdy but take time to break in."
P014,R131,"Women's windbreakers are perfect for morning jogs."
P014,R132,"The women's windbreakers are noisy and crinkly when moving."
P014,R133,"Love the lightweight feel of these women's windbreakers."
P014,R134,"Women's windbreakers are not very warm on cold days."
P014,R135,"These women's windbreakers pack down nicely for travel."
P014,R136,"Zippers on the women's windbreakers feel a bit weak."
P014,R137,"Women's windbreakers keep out light rain effectively."
P014,R138,"The fit of the women's windbreakers is boxier than expected."
P014,R139,"Bright color options make these women's windbreakers easy to see."
P014,R140,"The women's windbreakers stain easily if you spill something."
P015,R141,"Men's crew socks are thick and cushioned for running."
P015,R142,"These men's crew socks feel tight around the calves."
P015,R143,"Love how these men's crew socks stay in place during workouts."
P015,R144,"Men's crew socks started to develop holes after a month."
P015,R145,"These men's crew socks wick away sweat effectively."
P015,R146,"The men's crew socks are warmer than I expected."
P015,R147,"Men's crew socks keep their shape after multiple washes."
P015,R148,"Elastic in the men's crew socks loosened quickly."
P015,R149,"These men's crew socks are great for long walks."
P015,R150,"Seams in the men's crew socks are a bit bulky at the toes."
P016,R151,"Women's crop hoodies look stylish with high-waisted leggings."
P016,R152,"The women's crop hoodies are shorter than I expected."
P016,R153,"Love the soft fabric of these women's crop hoodies."
P016,R154,"Women's crop hoodies ride up when I lift my arms."
P016,R155,"These women's crop hoodies are warm without being too heavy."
P016,R156,"The hood on the women's crop hoodies feels oversized."
P016,R157,"Women's crop hoodies wash well with minimal shrinkage."
P016,R158,"Logo on the women's crop hoodies started peeling off."
P016,R159,"These women's crop hoodies are great for casual outings."
P016,R160,"The women's crop hoodies attract lint easily."
P017,R161,"Men's hiking boots offer solid ankle support on rocky trails."
P017,R162,"These men's hiking boots feel stiff and need breaking in."
P017,R163,"Love the rugged look of these men's hiking boots."
P017,R164,"The men's hiking boots are heavier than I expected."
P017,R165,"Men's hiking boots keep my feet dry in shallow streams."
P017,R166,"Toe box on the men's hiking boots is a bit narrow."
P017,R167,"These men's hiking boots grip well on loose gravel."
P017,R168,"The men's hiking boots run slightly large; I needed thicker socks."
P017,R169,"Comfort in these men's hiking boots improves after a few hikes."
P017,R170,"The men's hiking boots scuffed easily but still perform well."
P018,R171,"Women's training shoes are super light and ideal for the gym."
P018,R172,"These women's training shoes lack arch support."
P018,R173,"Love the sleek design of these women's training shoes."
P018,R174,"Women's training shoes feel a bit loose in the heel."
P018,R175,"These women's training shoes grip well on gym floors."
P018,R176,"The women's training shoes started to show wear quickly."
P018,R177,"Women's training shoes are comfortable for all-day wear."
P018,R178,"Laces on the women's training shoes come undone easily."
P018,R179,"These women's training shoes are great for classes and strength work."
P018,R180,"The women's training shoes are not ideal for long runs."
P019,R181,"Men's rain jackets keep me dry during light showers."
P019,R182,"These men's rain jackets struggle in heavy downpours."
P019,R183,"Love the sleek profile of these men's rain jackets."
P019,R184,"Men's rain jackets feel a bit clammy on the inside."
P019,R185,"These men's rain jackets pack small into a backpack."
P019,R186,"Zippers on the men's rain jackets are tricky to start."
P019,R187,"Men's rain jackets block wind pretty well."
P019,R188,"Hood on the men's rain jackets is too shallow."
P019,R189,"These men's rain jackets are great for commuting."
P019,R190,"The men's rain jackets wrinkle easily out of the bag."
P020,R191,"Women's jogger sets look coordinated and stylish for errands."
P020,R192,"The women's jogger sets run a bit small overall."
P020,R193,"Love the soft fabric of these women's jogger sets."
P020,R194,"Women's jogger sets feel too warm for outdoor summer wear."
P020,R195,"These women's jogger sets hold color after multiple washes."
P020,R196,"The waistband on the women's jogger sets rolls slightly."
P020,R197,"Women's jogger sets are comfortable enough for lounging."
P020,R198,"The pants in the women's jogger sets are shorter than expected."
P020,R199,"These women's jogger sets get compliments wherever I go."
P020,R200,"The women's jogger sets started pilling after a few weeks."
